State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,8.6,7.6,6.5,5.7,11.7,10.6,9.7,10.5,11.1,14,18.5,19,18.8,21.2,22.7,20.4,21.7,25.2,25.5,27.5,30,26.1,26,23.5,25.1,26.8,28.4,27.8,29.8,31,32.6,35.6,41.2,35.1,35.2,31.7,33,32.3,33.2,34.6,33.3,30.6,37.2,36.8,38.5,34.4,35.8,33.4,34.7,31.9,28.3,28.5,26.9
Alaska,20.8,13.2,18.7,14.9,22.4,17.8,19.5,17.6,21.7,29.4,26.1,43.5,41.8,44.5,49.3,44.6,46.9,51.6,55.6,71.9,56.8,102.2,85.4,101.5,91.6,77.2,72.7,65,57.7,52.9,72.9,91.8,98.6,83.8,69,80.3,65.6,66.2,68.6,83.5,79.3,79.1,79.7,93.3,84.8,81.1,76.4,79.7,65.1,73.4,74.6,60.2,79.7
Arizona,16.1,14.4,13.1,14.2,16.4,17.8,18.3,16.7,18.7,23,27,29.9,33.4,31,37.5,35.5,29.7,34.2,44.2,45.7,45.2,38.1,38.5,41.9,43.1,45.7,43,41.2,38.8,36.2,40.9,42.4,43,37.8,36,33.6,31.2,32.8,31.1,28.9,30.7,28.6,29.6,33.3,33,33.7,39.7,37.1,33.8,34.6,34.2,38.6,34.7
Arkansas,8.9,7.2,6.8,6.1,8.1,10.4,9.8,14.2,17.3,17.4,17.1,17.1,17.3,19.5,23.9,25.9,24.2,27.6,23.1,27.3,26.7,25.2,27.1,25.2,29.7,29.1,28.9,32.6,32.2,38.4,43.3,44.6,41.3,42.4,41.9,37.2,41.7,43.5,35.2,27.8,31.7,33.1,27.9,33.4,43,43.3,47.1,45.6,51.2,47.7,45.2,41.9,42.3
California,18.2,18.5,17.4,17.5,20,21.2,23.4,25,29.9,36.3,35.1,36.1,39.7,40.6,40.6,41.6,44.7,49.4,50.8,53.9,58.2,56.2,50.7,48,45.7,43.3,44.9,43.8,41.8,41.2,42.6,42.4,41.3,37.7,34.9,33.4,32.1,31.6,29.9,28.2,28.9,28.8,29.1,28.2,26.8,26,25.3,24.7,24.2,23.6,22.3,20.3,20.6
Colorado,13.1,12.9,14.8,14.5,17.1,16.2,17.3,20.9,26.1,28.8,36,38.4,38.4,38.7,36.5,41.5,33.8,42,49.6,53.1,52.5,45.6,44.5,41.9,39,40.9,42.3,40.8,38.6,36.2,46.2,47,47.3,45.8,43.2,39.5,46.2,43.1,47.4,41.4,41.2,43.6,45.9,42.1,42.3,43.4,45.4,42.7,43.5,45.2,44.2,44.7,40.7
Connecticut,4.1,2.4,3.1,3.3,5.5,5.2,6,5.6,8,8.7,9.1,11.9,8.9,11.1,11.2,12.4,14.4,16.8,17.2,24.1,21.6,21.9,21.9,20,24.1,24,23.8,24.9,26.2,27.5,27.9,29.2,26.9,24.4,24.6,23.7,23.1,22.6,22.2,19.9,19.9,18.6,21.4,20,21.6,20.3,19.9,19.7,19.4,18.7,16.6,19.2,25.6
Delaware,9.2,5.9,9.4,9,8.1,6.5,9.6,11.5,14,13.7,18.6,18.3,14.2,15.8,17.3,18.1,17.7,24.9,20.4,27.8,24.2,28.4,30.9,37.8,48.9,47.6,56.9,68.5,74.4,84.5,88.1,86.5,85.8,77,77.3,80.2,62.6,58.5,67.1,70.2,54.1,52.7,44.4,45.2,43,44.8,48.9,39.4,42.5,44.6,36.2,33.8,26.5
District of Columbia,14.5,13.1,10.5,10.9,11.9,17.4,16.6,21.3,32.1,97.2,95.2,83,95.5,79.9,77.6,72.6,72.4,58.3,66.3,74.5,69.1,65.1,66.7,65.2,58.7,53.8,52.4,39.4,26.6,30.8,49.9,35.8,36.5,56.1,43.7,52.7,47.9,41.2,36.3,47.8,43.9,31.5,46,49.1,40.1,28.5,31.8,32.6,31.4,25,30.9,27.9,37.3
Florida,8.1,7.6,5.8,7,10.3,13.3,14.7,15.2,18.1,21.2,22.2,24.3,26.4,31.9,36,35.7,36.3,39.6,46.1,51.6,56.9,56.1,53.6,48.4,50.7,52.8,52.7,50.2,49.7,49.7,52.4,51.7,54.2,53.8,52.3,48.6,52.1,51.9,49.6,46.3,44.2,40.6,40.5,39.6,38,37.1,35.8,33.7,32.6,29.7,28.5,27.6,27.2
