State,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,7343,8220,8994,9847,10053,10977,11866,12475,13624,15356,17428,19454,21346,24324,26725,30546,33712,36142,40257,41778,45679,50010,53824,56134,60752,66008,68394,71610,76043,81260,84563,90098,95819,100146,103907,109068,115215,119677,123819,129243,135910,148396,157520,164820,169689,173251,169052,175734,181848,189542,193566
Alaska,1083,1230,1374,1494,1643,1899,2073,2359,2539,2743,3041,3999,6220,7470,7544,9130,10891,15282,21824,23461,22591,23787,26142,19181,22925,21270,23453,25040,22283,22753,23284,23605,25449,26737,26750,24120,24793,26969,29087,29822,32136,35527,40232,44835,49194,54770,49954,53251,58581,59643,59355
Arizona,4482,4817,5028,5527,5783,6593,7563,8569,9649,11292,13330,14611,15284,16970,19609,23279,27495,30764,34269,35794,39774,46135,50709,55881,60047,64945,67895,70632,73358,82682,89300,100374,109906,119530,130926,143348,156181,165803,171517,179211,192100,204074,226290,247833,262380,259058,243331,247752,258187,271503,279024
Arkansas,3791,4148,4446,4868,5132,5704,6232,6667,7440,8494,9886,10865,11942,13704,15182,17477,19099,20276,22891,23527,25292,28465,29326,30799,32664,35004,37128,38680,41572,45018,47566,51416,54612,57976,60646,63241,67783,70000,71902,74673,79568,86813,93719,99883,103592,107854,105841,111355,115582,118993,124218
California,67809,73513,78253,84627,89571,98721,106629,111985,120372,133143,147231,161815,178394,197347,229592,262803,293491,327958,368808,393788,426143,482166,523906,563082,615359,671575,722979,773460,790046,807358,826447,861360,911577,964186,1061176,1160427,1262556,1382299,1399772,1450452,1534559,1642982,1759869,1866312,1949059,1978113,1906376,1953411,2030468,2125717,2202678
Colorado,5925,6228,6631,7275,7666,8540,9480,10431,11998,13784,16120,17852,20166,22253,25428,29398,33785,38332,43974,47654,50718,56230,59641,60970,63920,67757,71179,75571,79766,87302,95659,104507,112708,121081,135288,148906,162153,178114,184827,188371,194631,204354,221491,232381,244349,254760,248177,256628,266243,278551,294443
Connecticut,9877,10551,11456,12812,13595,14303,15627,16347,17129,18799,20808,22502,23976,26233,29598,33231,36855,40770,45642,50196,55528,63618,69231,75305,82984,90707,95831,100169,101475,105759,107680,113115,123212,129111,141044,148570,154873,167878,172668,175606,182466,199394,209599,222953,236036,236060,230005,233781,235121,242930,249251
Delaware,1885,2068,2313,2482,2605,2884,3069,3166,3623,3984,4516,4737,5025,5470,6056,6747,7304,7898,8839,9498,10611,11925,13092,14138,15568,16887,18900,19928,21746,22907,23509,25638,27721,29156,33147,36980,39704,42473,43158,43018,45418,49495,51963,55011,56381,54156,56090,57628,58612,60650,62703
District of Columbia,5137,5553,6037,6454,7183,7749,8096,8559,9180,9896,10400,11424,12712,13945,15581,16953,18417,19862,21740,22958,24573,26584,28534,30079,32129,35226,37469,39688,41430,43187,45356,46655,47094,47823,50944,54454,58844,61304,66260,70822,75086,80753,85403,89861,96625,101571,101927,106615,110702,111870,113362
Florida,14684,16025,17445,19182,21123,23793,27427,30691,34161,39709,46973,52123,55288,58729,65272,75681,86263,97899,112167,122282,136768,155993,170894,185852,204816,224848,241633,256589,267669,284673,304403,327167,346951,370912,400874,432149,460183,491450,519531,549614,584377,635769,699197,747470,773521,753012,721684,728604,736347,769007,800492
