State,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,2187,2421,2612,2843,2907,3185,3449,3616,3895,4338,4867,5362,5800,6509,7065,7967,8712,9266,10273,10643,11611,12655,13549,14063,15130,16404,16970,17681,18551,19562,20066,21149,22300,23123,24970,26157,26007,26881,27715,28848,30179,32753,34470,35606,36314,36720,35531,36722,37872,39344,40045
Alaska,4230,4677,5070,5513,5910,6663,7003,7752,8022,8401,9126,11602,16767,19002,18985,22701,26988,37704,52149,52181,46253,46305,49093,35242,42508,39245,42863,45257,39080,38647,38843,39126,42105,43934,39350,39993,39683,42947,45899,46427,49561,53887,60323,66393,72312,79671,71476,74595,80983,81668,80741
Arizona,2947,3096,3174,3424,3513,3920,4354,4774,5089,5621,6272,6569,6685,7228,8078,9246,10420,11237,12195,12386,13397,15042,15928,16891,17470,18371,18744,19172,19363,21115,21966,23645,24795,26059,30261,31982,31088,32129,32524,33210,34862,36104,38754,41106,42541,41249,38361,38658,39913,41444,42107
Arkansas,2022,2187,2347,2563,2700,2999,3258,3454,3773,4209,4803,5173,5533,6319,6878,7799,8417,8859,9982,10255,10969,12271,12602,13207,13945,14942,15824,16414,17444,18633,19365,20616,21540,22540,24313,25809,25561,26133,26714,27596,29201,31572,33699,35397,36365,37520,36537,38106,39334,40339,41974
California,3838,4050,4211,4488,4671,5090,5410,5593,5916,6468,7055,7643,8283,8997,10272,11507,12621,13779,15186,15866,16804,18657,19814,20776,22153,23594,24744,25817,25928,26065,26425,27358,28759,30113,35721,38274,37689,40670,40597,41594,43530,46184,49120,51811,53767,54040,51578,52323,53903,55940,57462
Colorado,3060,3161,3341,3625,3734,4028,4377,4690,5209,5732,6459,7025,7798,8454,9432,10626,11858,13178,14767,15565,16185,17738,18587,18833,19604,20770,21729,22848,23550,24972,26471,28062,29453,30888,37057,39390,38370,41164,41762,41950,42977,44667,47819,49229,50865,52101,49913,50836,52017,53676,55889
Connecticut,3622,3771,4010,4413,4632,4826,5209,5379,5595,6124,6780,7316,7772,8501,9583,10738,11889,13096,14588,15991,17559,20006,21627,23360,25555,27723,29186,30428,30723,32041,32540,34111,37066,38694,44358,46020,45734,49205,50299,50772,52368,57033,59767,63385,66917,66579,64575,65316,65513,67635,69312
Delaware,3903,4161,4562,4810,4962,5401,5683,5753,6410,6943,7799,8123,8535,9228,10181,11279,12197,13276,14831,15853,17526,19499,21175,22529,24442,26075,28711,29763,31835,32963,33281,35730,37988,39348,49209,52014,51232,54011,54239,53361,55523,59575,61484,64021,64676,61271,62900,64052,64552,66136,67732
District of Columbia,6437,6959,7575,8159,9081,9960,10625,11335,12230,13305,14175,15850,17896,20027,22854,25301,28091,31118,34134,36201,38855,41972,44967,47126,50444,55876,60030,65565,68950,72272,76190,79178,81124,83552,95914,104106,103197,107166,115334,123565,132077,142232,150586,157463,168218,175051,172108,176187,178660,176611,175361
Florida,2609,2772,2930,3143,3384,3699,4130,4483,4769,5280,5926,6267,6473,6754,7343,8288,9109,9949,11005,11678,12723,14130,15055,15929,17072,18271,19120,19687,20020,20854,21857,22976,23865,24972,28456,29715,29201,30625,31762,32932,34367,36506,39188,41144,42113,40643,38691,38661,38586,39802,40940
Georgia,2473,2643,2890,3153,3337,3664,3973,4205,4579,5119,5752,6082,6325,7106,7826,8731,9562,10249,11449,12116,13396,15161,16473,17764,18851,20038,20869,21596,22210,23479,24599,26267,27755,29328,34407,36638,35807,37159,37881,38106,38866,40241,42130,43015,43843,42997,41997,42303,42972,44205,45489
Hawaii,3471,3673,4047,4380,4574,5071,5736,6309,6554,6874,7546,8324,9340,9555,10310,11313,12493,13826,14966,15839,17043,18612,19931,21333,22729,24818,26884,29218,30224,31183,31319,31490,31552,31672,31037,32263,32394,34073,34916,36469,38817,41871,44924,47039,49247,49859,48328,49339,50661,52164,53584
Idaho,2695,2862,3203,3299,3394,3593,3890,4204,4420,4943,5730,6419,7013,7691,8157,9276,9957,10460,11096,10977,12053,12702,13122,13351,14209,15507,17004,17784,18104,19252,20834,22229,23581,24034,25311,27407,26905,29518,28666,29238,30153,31885,33537,35156,36490,36359,34780,35288,35959,36495,38612
Illinois,3799,4015,4300,4654,4825,5123,5511,5642,6013,6529,7219,7812,8480,9227,10089,11205,12191,12704,13951,14380,15174,17021,18095,19205,20297,22142,23367,24361,24935,26187,27103,29210,30350,31689,36476,38046,37778,39768,40504,41078,42333,44489,46601,49279,50896,50384,49776,50833,52653,54719,55945
Indiana,3258,3444,3762,4011,4146,4446,4708,4717,5120,5656,6375,6655,7041,8149,8862,9865,10579,10722,11810,11884,12721,14447,15022,15848,16746,18117,19407,19947,20411,21978,23019,24741,25704,26812,31429,32683,32434,33878,33850,34953,36590,38602,39339,40683,42507,42740,40628,43650,44815,46933,48259
Iowa,2884,3041,3354,3694,3801,4022,4396,4581,4792,5353,6460,6744,7633,8415,9268,10539,11484,11867,13161,12911,13057,14435,14995,15482,16365,17732,19096,20180,20712,21952,22343,24611,25507,27368,29662,30643,30488,32463,32854,34262,36395,40125,41796,42943,45618,45051,45011,46492,48627,50928,53639
Kansas,2767,2905,3097,3364,3532,3830,4099,4340,4819,5377,6183,6642,7397,8245,8861,9784,11204,11945,13409,13948,14596,15858,16750,17181,18060,18968,19740,20906,21603,22470,23060,24532,25099,26626,29910,31013,30808,32254,33242,34022,35547,36671,38529,40705,43337,44235,42634,44194,47163,48159,49780
Kentucky,2699,2804,3031,3298,3481,3822,4129,4316,4720,5070,5607,6196,6576,7376,8161,9050,9836,10102,11189,11452,11935,13353,14045,14426,15280,16807,17819,18520,19256,20590,21410,22771,23644,24650,27854,29148,28912,28499,29348,30302,31276,32788,34468,36137,36530,37076,36170,38260,39506,40634,41720
Louisiana,2860,3038,3276,3598,3916,4184,4510,4706,5022,5395,6001,7038,7892,8709,9879,11100,12479,15137,18024,17936,17492,18776,19144,17497,18068,19398,20592,22546,22581,21172,22210,24179,25778,27008,27554,28736,28604,30094,31405,31569,34877,37965,43772,48334,47768,49047,46722,51234,53039,54620,54822
Maine,2437,2622,2815,3004,3141,3427,3725,3972,4142,4469,4972,5286,5587,6393,6918,7574,8298,9108,9934,10658,11565,12891,13798,14855,16180,17752,18583,18881,18899,19644,20287,21360,22640,23422,25343,26927,26764,28558,29606,30991,32233,34188,35022,36365,37203,37692,37845,38776,38977,40071,41222
Maryland,3030,3199,3406,3671,3811,4155,4495,4754,5097,5548,6111,6624,7119,7817,8476,9385,10330,11241,12463,13154,14422,16017,17421,18664,20015,21744,22728,23508,23713,24279,25245,26540,27430,28369,33284,35059,34725,36439,38474,40225,41842,44710,47376,49511,51535,52637,53123,54632,55860,57177,57749
Massachusetts,3259,3419,3634,3945,4161,4490,4863,5094,5400,5867,6382,6805,7273,7914,8830,9905,10958,12127,13492,14516,16045,18221,19830,21542,23403,25355,26299,26484,26706,27773,28632,30468,31981,34084,40255,42460,42154,45834,46661,47362,49260,51786,54055,56330,59063,59628,58787,60885,62625,64999,66687
Michigan,3781,3979,4427,4612,4638,5143,5454,5191,5763,6269,6934,6920,7361,8639,9755,10795,11397,11251,12452,12635,14120,15877,16924,17908,18420,19594,20601,20739,21033,22371,23728,26202,26520,27701,32548,34708,34535,35546,35261,36545,37650,38190,39409,39588,40181,38937,36994,39259,40602,42172,43714
