State,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,842894,697154,583342,421538,435290,555997,586701,682988,733375,673513,705148,799657,1100120,1568116,1950183,2106992,2213815,2218865,2383177,2624455,2519974,2818502,3286165,3497467,3657249,3533060,3999687,4291997,4562229,4758455,5002900,5216067,5387725,5656779,6009180,6520994,7078644,7591766,8015446,8753294,9726212,10605131,11670926,12964387,14582799,16175869,18038463,20219074,22272668,25190629,27985848,30846806,34247539,36181454,38757480,42636213,45929741,48611751,51473139,55363180,60280625,64030925,67609367,72797037,76150809,80624474,85261242,88949009,93684207,100128887,104075226,109650210,114135857,117165562,122138952,130774307,137980530,146351621,153163623,159075116,156826195,162201146,168107121,173149657,176340520,181815935
Alaska,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),391941,538059,616278,651086,631065,642722,679219,672043,675477,703237,807217,796510,829551,898047,1005576,1084869,1153897,1257384,1357276,1565315,1787169,1969284,2148358,2483103,3011981,4117266,4842927,5025856,5175395,5469700,6203974,7056257,8609360,9367743,9960981,10771669,10867834,10429668,10874986,11937660,12648823,13196056,14089186,14833815,15321548,15731807,16157384,17037751,17817135,18389936,19775308,20820629,21714527,22571397,23547495,24926477,26428073,28384257,30949590,30880137,32527749,34853282,36446848,36866615,38973822
Arizona,257224,224623,184470,136925,131705,154799,180425,204813,228989,223233,237729,252551,319401,505119,690466,664885,679273,699313,781942,927803,951113,1056623,1309095,1489845,1581777,1639837,1799680,2028630,2220164,2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14657478,16475753,19435390,22882984,26355205,30111113,31876676,35022456,39692439,44047498,48287072,52219519,56251007,60461798,63347429,66542734,70956360,76399486,83823467,91210440,98865534,107334952,117882827,125458462,136949927,143499305,148853407,156784751,170838836,189280632,209900700,221175458,224661187,215635941,217855645,229719194,239929270,245070457,255088679
Arkansas,560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162,2319693,2532765,2557904,2781764,2973098,3149260,3418008,3606460,4006747,4249157,4595196,5129597,5635770,6273038,7082421,8381299,9361505,10317199,11382348,12660634,14678754,16085794,17360546,19647661,20666289,21979252,24467205,26075227,27390577,28467554,30524089,32748282,34454491,36402860,39713570,41691458,44262434,47045204,49936446,52327705,55571019,57900855,61024355,64205161,65648968,69484022,74000021,77842228,83224052,88847496,93070119,91672159,93561655,100171552,107443010,108603298,111983770
California,5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174467895,193561591,220507216,250010535,283799138,318785061,340782971,368628471,409946849,443303545,476217672,513581994,557975272,600986019,643662461,664750059,701159877,717991182,740731676,779045712,828470736,881168588,960077145,1026378246,1134033801,1174581326,1193641064,1244534708,1321815484,1395992214,1499308841,1564289335,1596229973,1537094676,1578553439,1685635498,1805193769,1856614186,1944369223
Colorado,635288,596454,498097,379940,378119,399173,479858,590209,589259,564357,581245,619492,735820,1038255,1228025,1221172,1349989,1473239,1696758,1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18707668,20868467,24074736,27637575,31661243,36453307,39978289,42963711,46893797,49555903,51506817,53456515,56556763,61188912,64843598,68683311,74703057,80924154,87187612,94759322,102202376,109974945,122328072,132644126,148098695,155918402,156031593,159330219,166624930,177818529,191699362,202598581,212101724,206437621,210454100,226144657,240349703,247068771,260992867
Connecticut,1640024,1494293,1312590,1026232,969366,1090354,1190750,1361909,1458869,1311754,1436330,1589203,2029372,2587325,2911680,2921230,2837079,3060592,3390306,3504895,3414883,3862330,4437134,4850281,5259471,5362905,5778919,6315039,6733835,6527864,6974994,7266881,7693260,8218293,8675920,9318293,10018325,11007189,12063735,12816784,14693141,15678607,16511886,17800682,19365980,21132528,22706406,24496860,26996993,30059857,33790984,38451011,43167308,46611050,49854453,55852197,59947338,64556631,70591445,77848044,84513744,86955823,87583062,94245958,97497237,100048150,105415237,110544115,117901260,126345516,132576015,143970764,149967094,149466188,152484082,163013099,171249032,184711831,196174409,198836094,191522258,197630202,206533081,216308449,218131742,224674328
Delaware,243300,204960,187585,144734,140270,161668,177753,220417,242467,205682,238411,278904,325034,368251,418722,436880,443560,473835,513099,525480,571135,669777,720012,773312,830174,861395,994216,1146463,1154808,1187445,1240584,1302373,1344573,1427126,1528141,1652820,1815568,1910996,2035756,2220336,2445633,2606227,2852424,3133305,3467373,3755784,4049435,4412122,4748292,5211190,5721362,6427223,7074773,7623902,8162134,8994320,9804756,10429474,11268444,12319420,13715493,14402033,15232618,15921943,16542048,17195737,18211741,19481028,20348037,22083010,23248811,25240496,27041034,28141556,28998703,30880398,32397278,34607719,35698470,36590354,36423315,36860326,38767723,40378899,41487286,42984325
District of Columbia,639233,641296,631596,567731,499867,546948,626780,718895,745520,728246,766035,842141,971075,1246821,1447518,1439168,1516705,1631873,1640576,1786172,1851892,1959271,2060768,2167693,2104071,2070126,2053501,2148789,2235140,2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6547812,7029773,7488870,7903154,8349742,8966035,9563552,9974818,10896831,11545965,12130896,12779361,14038369,14961717,15566386,16264648,17181057,17903661,18312617,18422635,19179658,20194722,21457721,22461324,24715785,25892206,26226303,27331007,29345970,31621269,34442599,36893977,40476523,40135458,42014483,45916115,48108756,48696519,50426406
Florida,749494,687690,592370,482112,448159,551596,610473,748592,838862,825084,920847,1017727,1285775,1832862,2639713,2934732,3055164,2970083,3037915,3185440,3315822,3785477,4287519,4850615,5407556,5696503,6514925,7551094,8355898,9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57318416,64165786,74157748,85157953,100141520,115796294,125234230,139213544,154925887,170315749,184197417,199365500,218659366,244034746,259952130,270160317,286331154,304130045,320281697,344059964,365997993,387625072,418527171,439260618,474532877,499645523,518146194,542976520,593045432,646923442,702930382,731382859,735700997,696682934,725160439,767448404,792950493,811376557,848357414
