State,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alabama,0,0,3152,3674,0,0,0,0,0,0,0,0,0,0,7248,6446,5166,4096,4036,3044,3646,3948,4432,4679,5036,4454,4416,4646,4879,5255,5222,5407,5224,5543,5449,5369,5540,5521,5083,4586,4377,4056,3881,4017,4140,3790,3823,3632,3693,4259,4420,3032,2919,4242,4028,4489,5827,7565,8687,10482,11015,11710,12827,12610,13907,15665,16760,17453,18624,19573,20718,21760,22290,22676,24658,26406,26741,27947,27913,25887,27888,28241,29412,30508,31874,31764,32270,32431,32381
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,183,174,175,207,255,293,333,364,381,510,608,808,1967,2329,2460,2528,2588,2744,2622,2706,2865,2703,3292,3522,3716,4165,4097,3949,4173,4571,4398,4527,4554,4812,5069,5167,5014,5285,5391,5597,5633,5081
Arizona,473,444,483,534,509,539,587,677,615,572,613,688,696,709,801,796,726,653,603,603,645,784,941,964,894,878,900,937,994,1007,1055,1118,1238,1392,1493,1516,1592,1679,1728,1627,1694,1627,1596,1692,1714,1461,1401,1529,1691,2101,2647,2850,2982,3206,3315,3597,4780,5809,6743,7845,8531,9434,10948,12095,13251,14261,15415,16477,17811,19746,21341,22493,23484,25515,25986,26510,27710,29359,31170,32515,33471,35801,37746,39502,40544,40209,40020,40080,41104
Arkansas,1297,1231,1241,1124,1153,1312,1374,916,1417,1699,1872,1859,1917,1896,2015,1904,1611,1509,1425,1100,1140,1252,1446,1442,1595,1541,1471,1483,1470,1665,1751,1721,1776,1849,1911,2016,2076,2066,2000,1992,1970,1864,1651,0,0,0,1658,1619,1679,1938,2162,2431,2386,2510,2783,2805,3214,3747,4128,4482,4611,4701,5441,5519,6649,7322,7766,8285,8625,8957,8910,9407,10021,10638,11415,11915,12594,13091,13315,13807,13511,13729,14314,14716,15208,16204,16108,14654,17235
California,5285,5794,6049,6815,7071,7116,7515,8333,9042,9156,8578,8108,8108,8619,8719,8182,7201,6018,5729,5710,6628,7373,8547,9563,10377,11056,11464,12612,13365,14572,15230,15532,16918,19202,19299,21660,23927,24032,26133,26483,26325,27467,27741,28435,27535,25033,17474,16970,19794,21897,17296,18113,17338,19550,21260,23264,27913,33583,38025,43197,50158,59484,66975,76171,87297,97309,101808,109496,119951,126091,135646,146049,155790,161904,163067,163001,159444,161361,164487,166556,170676,175512,174282,173670,171275,165062,149569,134534,135981
Colorado,1185,1129,1258,1209,1250,1331,1382,1348,1257,1312,1321,1359,1437,1639,1749,1556,1536,1386,1303,1174,1211,1331,1389,1456,1362,1490,1446,1520,1597,1783,1800,1912,2006,1972,2012,2078,2149,2356,2594,2666,2766,2540,2514,2338,2107,2066,1957,1925,1894,1968,2039,2239,2311,2452,2521,2596,2743,3037,3242,3231,3386,3804,4808,5765,6908,7671,8392,8997,9462,10717,11063,12438,13461,14312,15670,16833,17448,18833,19671,20293,21456,22481,22841,23274,22795,22815,21978,20462,20371
Connecticut,948,920,1005,1097,1210,1328,1342,1366,1267,1238,1299,1243,1204,1174,1166,1146,1055,1163,1175,1115,1023,1045,1078,1084,1087,1020,1081,1093,1173,1188,1260,1263,1329,1565,1500,1497,1639,1653,1652,1716,1642,1599,1587,1444,1630,1568,1938,1818,1663,1464,1849,1923,1647,1804,2062,2469,2770,3004,3508,5718,6149,6905,7511,8005,9301,10500,10977,11403,13691,14380,14802,16571,17241,17605,18639,18355,19196,20720,19846,19497,19442,20566,20924,20661,19716,19321,18324,17530,17563
Delaware,0,0,0,0,0,332,340,0,238,510,470,525,521,491,435,386,168,151,130,135,153,169,189,178,157,158,161,153,151,165,172,226,213,226,232,226,240,206,208,281,315,270,308,0,555,596,186,279,325,436,582,684,695,823,1012,967,984,1260,1392,2202,2553,2833,2982,3197,3458,3471,3717,4062,4210,4466,4836,5110,5435,5558,6983,6921,7003,6778,6794,6927,6944,7186,7257,7057,6775,6615,6739,6914,7004
District of Columbia,0,0,0,0,0,732,813,1048,1174,1259,1430,1668,1670,1738,1678,1597,1604,1535,1345,1205,1126,1115,1102,1258,1372,1478,1514,1529,1786,1914,1943,2119,1968,2064,1990,1958,2059,1890,1841,1653,1604,1542,1268,1466,1504,1423,2600,2500,2331,2072,2302,2283,2237,2530,2599,2719,2932,3351,3465,4521,6404,6618,7645,8831,9954,9947,10455,10875,10845,10949,9800,9376,9353,9829,8652,10352,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida,1427,1910,2503,1648,1592,1985,2985,2951,3050,3041,2849,3233,3254,3578,3753,3648,3799,3005,2521,2415,2525,2952,3460,3761,3851,3973,3860,3894,3878,4343,4830,5107,5668,6374,6802,7084,7615,7599,6751,6725,6995,6972,7261,7946,8512,9187,9653,10382,10376,11217,15315,17793,18917,20188,18907,19945,22898,26892,25293,26914,28600,32237,32445,34732,39999,44387,46533,48302,53048,57163,63879,63763,64626,67224,69596,71319,72404,75210,82012,85533,89768,92969,98219,102388,103915,104306,103055,101930,103028
